step_count,active_time,update_time,create_time,speed,distance,calorie
4136,2378983,2021-05-28 16:52:42,2021-05-28 1:04:28,1.30499,3104.55,157.53
1889,1056453,2021-01-01 18:30:03,2020-12-31 4:28:46,1.376085,1453.77,66.70999
5476,3199223,2021-07-04 18:30:03,2021-07-04 18:30:03,1.2866967,4116.43,204.52998
882,534357,2021-05-14 18:30:01,2021-05-14 18:30:01,1.2271382,655.73,32.2
739,409243,2021-10-02 4:00:02,2021-10-02 4:00:02,1.368917,560.22003,29.13
2681,1605830,2021-05-04 18:30:01,2021-05-04 18:30:01,1.2403926,1991.86,102.49
4553,2627792,2021-02-19 18:30:01,2021-02-19 18:30:01,1.3291461,3492.72,160.79
3349,2032251,2021-08-22 4:00:02,2021-08-22 4:00:02,1.2251685,2489.85,131.54
7530,4390105,2021-10-06 3:23:47,2021-10-05 15:13:19,1.3004197,5708.98,302.72998
939,533381,2020-12-24 18:30:01,2020-12-24 18:30:01,1.3353864,712.27,31.98
3100,1696641,2021-09-17 2:22:33,2021-09-16 4:04:48,1.391349,2360.6199,122.10999
4265,2389437,2021-06-13 18:30:01,2021-06-13 18:30:01,1.3464881,3217.3494,156.24994
155,101899,2020-09-27 18:30:01,2020-09-27 18:30:01,1.1213014,114.26,5.08
3862,2413027,2020-10-23 18:30:01,2020-10-23 18:30:01,1.1874046,2865.24,136.56999
3306,1894854,2021-06-18 18:38:35,2021-06-18 18:38:35,1.3315531,2523.1,130.80998
1689,944453,2021-05-19 18:30:02,2021-05-19 1:48:46,1.3564991,1281.15,60.549995
1722,1021509,2021-04-21 18:30:01,2021-04-21 18:30:01,1.262221,1289.37,62.71
936,536308,2021-05-03 18:30:01,2021-05-03 18:30:01,1.3150445,705.27,33.199997
3101,1614574,2021-03-22 18:52:21,2021-03-22 18:52:21,1.4757941,2382.78,102.579994
3950,2157878,2021-09-16 3:55:02,2021-09-15 4:04:22,1.4203627,3064.97,160.17
2929,1610031,2021-09-02 4:00:02,2021-09-01 4:02:26,1.382383,2225.6797,115.68998
1018,595183,2020-09-18 18:30:01,2020-09-18 18:30:01,1.2868963,765.94,32.89
2927,1672200,2020-10-19 17:00:37,2020-10-18 18:46:27,1.3241117,2214.18,100.24
2012,1154990,2021-03-03 16:53:08,2021-03-03 2:53:05,1.3125998,1516.04,74.37
4281,2525157,2021-07-29 16:28:53,2021-07-29 3:02:29,1.268891,3204.1501,165.95999
2113,1210157,2021-02-16 18:30:01,2021-02-16 18:30:01,1.3301736,1609.72,74.65
3159,1641968,2021-03-24 14:30:14,2021-03-24 3:15:01,1.4834938,2435.85,102.049995
3542,2032441,2020-10-05 18:30:01,2020-10-05 18:30:01,1.31562,2673.92,113.23999
3714,2180215,2020-12-15 18:30:02,2020-12-15 18:30:02,1.2667234,2761.73,127.67
768,443112,2021-06-04 18:30:01,2021-06-04 18:30:01,1.3023113,577.07,27.599995
11856,6204071,2021-09-02 4:00:03,2021-08-31 4:07:20,1.4859174,9218.738,480.75986
3636,2044397,2021-08-11 5:00:01,2021-08-11 5:00:01,1.3439215,2747.51,143.35999
6880,3901638,2021-03-27 18:30:02,2021-03-27 18:30:02,1.3600544,5306.44,264.25998
1506,859893,2020-12-05 15:21:55,2020-12-05 2:05:31,1.3457475,1157.2001,53.699993
1118,659799,2021-01-06 17:23:56,2021-01-06 4:00:19,1.2679758,836.61,38.87
3144,1800011,2021-06-23 15:28:42,2021-06-23 1:45:33,1.3225529,2380.6099,120.51
7885,4351721,2021-07-05 16:42:40,2021-07-05 2:34:31,1.3747686,5982.61,313.61996
1572,874287,2021-05-08 17:44:36,2021-05-08 0:54:42,1.4348719,1254.49,66.03
4240,2317299,2021-03-05 18:30:02,2021-03-05 18:30:02,1.3973676,3238.1199,147.81999
3101,1614574,2021-03-22 14:51:08,2021-03-22 2:49:01,1.4757941,2382.78,102.579994
3886,2187650,2020-09-15 17:13:00,2020-09-14 18:43:06,1.376632,3011.5898,156.90997
2484,1352151,2021-04-17 18:11:47,2021-04-16 19:01:00,1.4085103,1904.52,88.9
785,485590,2020-12-30 18:17:14,2020-12-30 4:23:51,1.2006836,583.04,27.74
1078,636426,2021-04-24 18:30:01,2021-04-24 18:30:01,1.2816083,815.65,39.98
2877,1637605,2021-01-16 18:30:03,2021-01-16 18:30:03,1.3378556,2190.8801,98.46998
2300,1209524,2020-11-11 15:54:33,2020-11-10 20:46:08,1.4952731,1808.5701,82.72998
3422,1842948,2021-01-31 18:24:07,2021-01-30 20:37:52,1.4382879,2650.69,117.2
2420,1438216,2021-07-03 18:30:01,2021-07-03 18:30:01,1.2616951,1814.59,87.829994
1083,651483,2021-06-16 18:30:01,2021-06-16 18:30:01,1.2610133,821.53,41.18
2435,1415070,2020-11-19 16:33:52,2020-11-19 2:27:05,1.290671,1826.39,82.7
1975,1174028,2021-07-02 18:30:01,2021-07-02 18:30:01,1.2573886,1476.21,72.909996
1788,1032462,2021-05-30 17:03:42,2021-05-29 18:55:20,1.3033115,1345.62,63.879997
3949,2115695,2021-09-30 4:00:02,2021-09-27 5:14:45,1.4660242,3101.66,165.10999
2307,1368267,2021-09-19 4:00:01,2021-09-19 4:00:01,1.25569,1718.1201,90.67
3450,2027337,2020-11-25 18:30:03,2020-11-25 18:30:03,1.2648313,2564.24,116.53999
2686,1500309,2020-12-26 17:42:52,2020-12-26 2:08:07,1.3624392,2044.08,90.64
3529,2057137,2021-08-27 4:00:02,2021-08-27 4:00:02,1.2885869,2650.8,138.43
186,114317,2021-09-20 4:00:02,2021-09-20 4:00:02,1.2183623,139.28,7.0000005
5476,2751712,2021-03-30 18:03:07,2021-03-30 2:16:22,1.5497985,4264.6,175.14
2420,1438216,2021-07-03 18:19:51,2021-07-03 1:14:49,1.2616951,1814.59,87.829994
4191,2350563,2021-10-05 4:00:02,2021-10-04 4:06:55,1.3469964,3166.2,165.56998
27,14350,2021-04-08 18:59:24,2021-04-08 18:35:33,1.4285169,20.5,0.89
5628,3073154,2021-02-22 18:45:01,2021-02-22 18:45:01,1.3962882,4291.01,179.33998
1018,616387,2021-02-14 18:30:01,2021-02-14 18:30:01,1.2310919,758.83,35.21
6181,3431778,2021-09-14 3:24:59,2021-09-13 4:01:00,1.360338,4668.3794,245.62996
6440,3378311,2021-03-09 18:30:01,2021-03-09 18:30:01,1.4687543,4961.9097,219.4
1211,708329,2021-06-05 18:30:01,2021-06-05 18:30:01,1.2858136,910.78,43.949997
3608,2015407,2021-02-05 18:30:01,2021-02-05 18:30:01,1.3589061,2738.75,120.41999
2028,1231393,2020-10-07 18:30:01,2020-10-07 18:30:01,1.2270322,1510.96,65.77999
1975,1174028,2021-07-02 17:53:01,2021-07-01 18:35:38,1.2573886,1476.21,72.909996
3511,1882440,2021-06-28 18:30:03,2021-06-28 18:30:03,1.4348555,2701.03,123.43
3599,2110234,2020-11-07 18:30:03,2020-11-07 18:30:03,1.2851319,2711.93,124.829994
1686,987323,2021-05-21 16:37:03,2021-05-21 2:20:23,1.2968093,1280.37,62.84
2166,1226342,2020-10-24 18:17:39,2020-10-24 3:34:47,1.3309332,1632.1799,71.82
1358,796163,2021-10-08 4:00:02,2021-10-08 4:00:02,1.2818856,1020.59,53.57
3135,1843298,2020-11-23 18:30:02,2020-11-23 18:30:02,1.2882829,2374.69,110.299995
14859,7946735,2021-09-04 2:36:48,2021-09-03 15:11:57,1.4688444,11672.519,616.73987
4327,2384835,2021-07-11 18:30:02,2021-07-11 18:30:02,1.3963771,3330.13,170.90996
892,526603,2021-05-23 15:53:51,2021-05-22 19:15:22,1.2727972,670.26,33.23
3032,1765897,2020-10-25 18:30:01,2020-10-25 18:30:01,1.2964398,2289.3801,105.28999
1619,958376,2021-05-07 17:09:25,2021-05-07 1:05:30,1.2667575,1214.03,58.46
892,526603,2021-05-23 18:30:02,2021-05-23 18:30:02,1.2727972,670.26,33.23
1015,616371,2021-06-07 18:30:02,2021-06-07 18:30:02,1.2404374,764.57,37.71
1039,600550,2021-02-03 16:38:07,2021-02-02 18:36:58,1.3020715,781.96,35.42
3384,1966846,2020-11-08 18:00:02,2020-11-07 19:45:42,1.3040876,2564.94,116.969986
9863,5732811,2021-08-17 4:00:01,2021-08-17 4:00:01,1.2889051,7389.05,390.14996
1570,909084,2021-06-21 18:30:01,2021-06-21 18:30:01,1.2966125,1178.73,59.12
3599,2150972,2021-07-28 16:33:46,2021-07-27 18:32:55,1.2596024,2709.37,140.81999
3534,2110244,2021-06-30 18:30:01,2021-06-30 18:30:01,1.2455145,2628.34,136.45
2434,1345575,2021-02-01 18:29:13,2021-01-31 19:12:32,1.413901,1902.5099,88.13999
1696,957412,2020-10-31 18:30:29,2020-10-31 18:30:02,1.3401439,1283.0701,55.609997
747,417301,2021-01-02 17:33:57,2021-01-02 6:34:37,1.3672856,570.57,26.339998
2359,1377916,2020-11-20 17:50:57,2020-11-19 18:50:30,1.2835172,1768.5798,79.89999
13746,7490959,2021-08-24 4:00:02,2021-08-24 4:00:02,1.3993706,10482.628,541.4298
1227,701641,2021-05-17 18:30:02,2021-05-17 18:30:02,1.3226132,928,44.19
2184,1251474,2021-06-29 17:04:44,2021-06-29 1:19:23,1.318892,1650.56,78.59
4455,2554366,2021-04-22 18:01:29,2021-04-21 20:50:43,1.3148584,3358.6301,168.26
2222,1235302,2020-11-27 18:30:02,2020-11-27 18:30:02,1.3629861,1683.7,73.78999
1570,904482,2021-02-04 18:24:05,2021-02-03 19:09:10,1.3026344,1178.21,52.579998
2884,1717111,2021-06-03 18:30:02,2021-06-03 18:30:02,1.2529472,2151.45,106.46
2851,1514034,2021-02-25 18:30:02,2021-02-25 2:19:53,1.4403309,2180.71,87.71
4977,2602396,2021-02-24 17:09:17,2021-02-24 1:37:14,1.470533,3826.91,152.57999
1444,846431,2020-09-05 14:56:26,2020-09-04 20:15:54,1.3232489,1120.04,60.269997
3042,1673191,2021-02-11 18:30:02,2021-02-11 18:30:02,1.3804456,2309.75,96.899994
4630,2578238,2021-03-07 16:14:18,2021-03-07 1:30:14,1.3674687,3525.66,163.29
5755,3303098,2021-07-08 17:00:43,2021-07-08 4:45:05,1.3071517,4317.65,227.56995
2005,1158151,2021-01-17 18:30:02,2021-01-17 18:30:02,1.3023946,1508.37,66.78
5803,3186189,2021-07-12 18:30:01,2021-07-12 18:30:01,1.38042,4398.28,226.62996
4327,2384835,2021-07-11 16:26:20,2021-07-11 3:08:18,1.3963771,3330.13,170.90996
3928,2399219,2020-11-29 17:42:36,2020-11-29 5:34:37,1.2152661,2915.69,134.67
3378,1960173,2021-07-31 18:30:09,2021-07-31 18:30:09,1.3021502,2552.44,132.27
1673,1005143,2021-08-29 4:00:17,2021-08-29 4:00:17,1.2412063,1247.59,64.20999
6721,3494351,2021-08-10 3:32:46,2021-08-09 7:11:07,1.4793557,5169.3896,265.31998
3284,1824636,2020-10-29 18:17:31,2020-10-29 2:25:19,1.3645071,2489.73,108.46999
1774,1000449,2021-01-30 18:11:11,2021-01-30 2:57:40,1.3502436,1350.85,59.579998
3473,1892689,2021-03-12 14:32:20,2021-03-12 2:42:40,1.3996059,2649.02,120.829994
3940,2185412,2021-07-13 15:21:32,2021-07-13 4:13:45,1.3762068,3007.58,154.84
1431,878224,2021-09-29 4:00:01,2021-09-29 4:00:01,1.2032462,1056.7201,56.179996
280,177516,2021-10-09 4:00:02,2021-10-09 4:00:02,1.1622562,206.32,10.53
1463,787711,2021-03-28 18:30:02,2021-03-28 18:30:02,1.445034,1138.27,55.039997
1812,1065158,2020-09-29 18:30:01,2020-09-29 18:30:01,1.2699608,1352.71,57.93
2671,1539578,2020-10-06 18:06:25,2020-10-06 1:53:44,1.3034735,2006.7999,84.96
2405,1449788,2020-11-22 18:30:02,2020-11-22 18:30:02,1.2362355,1792.28,82.88
4531,2591359,2021-02-28 17:15:16,2021-02-27 18:35:03,1.3236063,3429.94,172.35997
3775,2222321,2020-09-06 16:53:06,2020-09-06 3:01:56,1.2937956,2875.23,141.39
2180,1221954,2021-02-13 18:30:01,2021-02-13 18:30:01,1.3520309,1652.1199,72.56
1696,957412,2020-11-01 18:30:01,2020-10-30 20:31:59,1.3401439,1283.0701,55.609997
5929,3125074,2021-08-31 3:55:11,2021-08-30 13:22:22,1.4607458,4564.9395,233.74995
1571,836647,2021-05-25 18:30:02,2021-05-25 18:30:02,1.5021983,1256.81,61.28
5973,3408470,2021-02-21 15:57:01,2021-02-20 18:42:34,1.3201817,4499.8,192.81999
5745,3311179,2021-07-24 18:30:47,2021-07-24 18:30:47,1.3137703,4350.13,225.48
4066,2330601,2021-07-26 18:30:02,2021-07-26 18:30:02,1.3151715,3065.14,157.99
7893,4149109,2021-08-18 4:00:02,2021-08-18 4:00:02,1.4578424,6048.7476,314.3899
4066,2181520,2021-02-18 17:10:08,2021-02-18 2:49:17,1.4286823,3116.7,132.37
2013,1183242,2021-06-01 16:43:23,2021-06-01 0:37:43,1.2731373,1506.43,75.079994
1765,1051098,2020-11-04 16:20:21,2020-11-04 2:40:56,1.2516903,1315.65,60.34
9232,5127143,2021-04-03 18:30:01,2021-04-03 18:30:01,1.3734468,7041.86,326.46997
1951,1183442,2020-09-28 18:30:01,2020-09-28 18:30:01,1.2254502,1450.25,62.539997
1614,893620,2021-01-20 17:18:41,2021-01-20 6:19:07,1.4254044,1273.77,60.109997
1213,739325,2020-12-16 18:30:03,2020-12-16 18:30:03,1.2200845,902.04,42.32
2655,1495228,2021-10-04 4:06:55,2021-10-04 4:00:01,1.3404837,2004.33,104.95999
3155,1697437,2021-01-18 18:30:02,2021-01-18 18:30:02,1.4642308,2485.44,115.979996
2974,1748274,2020-10-01 18:30:01,2020-10-01 18:30:01,1.2692572,2219.01,92.07997
3190,1662714,2021-04-15 14:36:13,2021-04-14 19:13:25,1.5004442,2494.81,110.80999
6657,3700492,2021-03-01 18:30:02,2021-03-01 18:30:02,1.3656507,5053.58,245.21999
27,14350,2021-04-09 18:30:01,2021-04-09 18:30:01,1.4285169,20.5,0.89
2992,1789961,2020-10-10 18:30:14,2020-10-10 18:30:14,1.2471327,2232.32,96.85999
1774,1000449,2021-01-30 18:30:02,2021-01-30 18:30:02,1.3502436,1350.85,59.579998
2012,1154990,2021-03-03 18:30:01,2021-03-03 18:30:01,1.3125998,1516.04,74.37
1779,1068188,2021-05-11 17:12:15,2021-05-11 1:59:14,1.2421492,1326.85,65.46
4780,2442559,2021-03-18 18:20:20,2021-03-18 2:14:02,1.5130357,3695.68,155.81999
1875,1104484,2021-08-04 3:37:12,2021-08-03 2:19:06,1.269742,1402.41,73.95
2343,1227572,2021-04-14 18:30:01,2021-04-14 18:30:01,1.4921805,1831.76,84.979996
2610,1544361,2021-01-28 18:30:01,2021-01-28 18:30:01,1.2670867,1956.84,89.56
70,34067,2021-04-11 18:30:01,2021-04-11 18:30:01,1.702217,57.990005,2.559999
1765,1051098,2020-11-04 18:30:01,2020-11-04 18:30:01,1.2516903,1315.65,60.34
1269,722853,2020-12-01 16:45:33,2020-12-01 2:48:36,1.3204893,954.5201,41.719986
2773,1599212,2021-07-14 18:28:21,2021-07-14 2:43:22,1.3031098,2083.95,106.509995
4243,2411474,2020-09-13 18:30:03,2020-09-13 18:30:03,1.3685527,3300.23,174.07999
1015,616371,2021-06-07 17:23:39,2021-06-07 1:52:05,1.2404374,764.57,37.71
2994,1698868,2021-09-08 2:33:03,2021-09-07 16:05:08,1.3372668,2271.84,120.49
1359,786358,2021-05-10 18:30:03,2021-05-10 18:30:03,1.3039849,1025.4,49.25
4768,2640584,2020-11-09 18:00:43,2020-11-09 2:50:35,1.3716735,3622.0198,156.13998
3883,2013596,2021-04-01 15:03:09,2021-04-01 3:35:15,1.4874825,2995.19,125.46999
2093,1262000,2021-06-09 18:30:01,2021-06-09 18:30:01,1.2409103,1566.03,77.11999
1572,874287,2021-05-08 18:30:01,2021-05-08 18:30:01,1.4348719,1254.49,66.03
4814,2481650,2021-04-06 18:30:02,2021-04-06 18:30:02,1.4931477,3705.47,169.04999
5973,3408470,2021-02-21 20:19:57,2021-02-21 20:19:57,1.3201817,4499.8,192.81999
1127,659671,2021-08-30 1:36:18,2021-08-29 4:14:15,1.2789552,843.69,43.76
2148,1231550,2020-11-14 16:40:01,2020-11-13 20:13:48,1.3140755,1618.35,72.53
1385,785229,2021-04-26 18:30:02,2021-04-26 18:30:02,1.3344753,1047.87,49.109997
4321,2220772,2021-09-11 4:00:01,2021-09-11 4:00:01,1.568508,3483.2998,187.40999
1084,627504,2020-12-17 18:30:03,2020-12-17 18:30:03,1.301856,816.92004,36.589996
882,534357,2021-05-14 16:29:07,2021-05-14 3:30:17,1.2271382,655.73,32.2
2790,1608142,2020-09-30 15:54:10,2020-09-30 4:14:53,1.3031429,2095.64,87.88
3092,1601835,2021-03-10 15:36:21,2021-03-09 18:54:27,1.4907963,2388.0098,101.14998
857,486371,2021-04-23 18:30:01,2021-04-23 18:30:01,1.3353771,649.49,30.83
3190,1662714,2021-04-15 18:30:01,2021-04-15 18:30:01,1.5004442,2494.81,110.80999
1643,967681,2021-06-26 17:47:03,2021-06-26 3:10:15,1.28006,1238.69,59.929996
1667,975589,2021-01-24 18:30:02,2021-01-24 18:30:02,1.2811837,1249.91,56.789997
1883,998273,2021-01-12 18:30:01,2021-01-12 18:30:01,1.5085646,1505.9601,69.159996
13852,7804904,2021-08-21 3:23:21,2021-08-20 12:51:14,1.3407274,10464.25,542.2699
994,577840,2021-04-28 19:12:24,2021-04-28 19:12:24,1.2917917,746.45,35.699997
1678,952719,2020-09-11 18:30:01,2020-09-11 18:30:01,1.3742138,1309.24,69.79
70,34067,2021-04-11 17:09:18,2021-04-11 14:49:58,1.702217,57.990005,2.559999
1399,778140,2021-01-29 18:30:01,2021-01-29 18:30:01,1.380934,1074.56,49.34
3282,1730446,2021-03-31 15:10:38,2021-03-30 20:07:26,1.4516773,2512.05,108.929985
5045,2955975,2021-05-29 18:30:03,2021-05-29 18:30:03,1.2830892,3792.78,185.67
6796,3942604,2021-07-15 17:00:53,2021-07-15 1:56:11,1.2950324,5105.8,264.37
4066,2181520,2021-02-18 18:30:01,2021-02-18 18:30:01,1.4286823,3116.7,132.37
3724,2106117,2021-05-05 18:30:02,2021-05-05 18:30:02,1.3383344,2818.69,143.5
1180,710956,2021-05-15 16:03:17,2021-05-15 2:17:54,1.2355188,878.4,43.399998
5929,3125074,2021-08-31 4:00:01,2021-08-31 4:00:01,1.4607458,4564.9395,233.74995
4281,2525157,2021-07-29 18:30:01,2021-07-29 18:30:01,1.268891,3204.1501,165.95999
2359,1377916,2020-11-20 18:30:02,2020-11-20 18:30:02,1.2835172,1768.5798,79.89999
1429,859556,2021-06-20 18:30:02,2021-06-20 18:30:02,1.2399307,1065.79,52.679996
2405,1449788,2020-11-22 18:03:34,2020-11-21 18:45:16,1.2362355,1792.28,82.88
2924,1570703,2021-06-25 18:30:01,2021-06-25 18:30:01,1.4302894,2246.56,100.579994
1167,622224,2020-12-11 17:03:07,2020-12-11 5:27:50,1.4903774,927.35,42.739983
1174,700135,2021-06-08 17:30:23,2021-06-08 1:38:58,1.2565851,879.78,43.63
1216,703443,2020-11-06 18:30:01,2020-11-06 18:30:01,1.3189825,927.83,42.639996
3775,2222321,2020-09-06 18:30:02,2020-09-06 18:30:02,1.2937956,2875.23,141.39
3306,1685954,2021-03-17 16:32:26,2021-03-17 2:48:31,1.5171409,2557.8298,107.359985
704,402382,2021-05-27 18:30:01,2021-05-27 18:30:01,1.3164828,529.73,25.18
1532,928432,2021-05-12 18:50:44,2021-05-12 18:50:44,1.244442,1155.38,57.48
8181,4702824,2021-01-04 17:51:51,2021-01-03 18:35:21,1.312607,6172.96,273.37
1232,737351,2021-01-25 18:29:26,2021-01-25 3:58:32,1.2490793,921.01,42.429996
3772,2335689,2021-01-09 14:53:26,2021-01-08 23:05:01,1.1922474,2784.72,136.85
1722,1021509,2021-04-21 16:03:03,2021-04-21 1:54:54,1.262221,1289.37,62.71
676,413316,2021-05-16 17:13:56,2021-05-16 1:04:41,1.2119763,500.93002,25.050001
6181,3431778,2021-09-14 4:00:02,2021-09-14 4:00:02,1.360338,4668.3794,245.62996
3025,1708968,2020-09-17 17:35:02,2020-09-17 3:32:56,1.3520143,2310.55,98.42999
5855,3237460,2021-08-26 4:00:01,2021-08-26 4:00:01,1.388993,4496.8096,236.56995
1544,936299,2020-12-12 18:09:25,2020-12-11 19:20:32,1.2256118,1147.54,52.929996
1909,1161337,2021-05-09 18:30:01,2021-05-09 18:30:01,1.2212902,1418.33,69.939995
1689,901496,2021-03-21 16:16:26,2021-03-21 3:52:30,1.4608375,1316.94,61.559998
2997,1780500,2021-02-17 18:31:00,2021-02-17 18:31:00,1.2590896,2241.81,102.6
3969,2042642,2021-09-12 3:51:36,2021-09-11 4:01:21,1.5400345,3145.7397,165.55998
3601,1864282,2021-03-23 18:30:02,2021-03-23 18:30:02,1.4891309,2776.16,116.72999
5442,3053010,2020-10-26 16:41:38,2020-10-26 2:06:51,1.3655373,4169,184.51
8353,4655673,2021-10-03 1:17:03,2021-10-02 4:45:50,1.366264,6360.8794,333.34995
4294,2448965,2021-08-03 2:19:05,2021-08-03 2:19:05,1.3310803,3259.77,166.98
3941,2289097,2020-11-12 17:00:19,2020-11-12 0:43:23,1.3043003,2985.67,137.4
2013,1183242,2021-06-01 18:30:01,2021-06-01 18:30:01,1.2731373,1506.43,75.079994
545,323014,2021-05-24 18:30:01,2021-05-24 18:30:01,1.2608428,407.27,19.48
1694,1003888,2020-11-13 15:15:34,2020-11-13 3:59:28,1.2654196,1270.34,58.679996
14859,7946735,2021-09-04 4:00:02,2021-09-04 4:00:02,1.4688444,11672.519,616.73987
2491,1461666,2021-07-23 16:51:08,2021-07-23 3:45:09,1.2840135,1876.8,94.74
7172,4046333,2021-07-17 16:07:25,2021-07-17 2:55:02,1.339052,5418.25,280.52
13088,7201121,2021-09-26 4:00:01,2021-09-26 4:00:01,1.3924524,10027.22,528.8499
2343,1227572,2021-04-14 17:53:39,2021-04-14 6:05:02,1.4921805,1831.76,84.979996
3366,1927583,2021-03-13 16:16:50,2021-03-13 2:51:35,1.3198339,2544.09,121.49999
9012,5081327,2021-09-03 3:43:40,2021-09-02 4:21:11,1.3415115,6816.6597,355.3799
1444,846431,2020-09-05 18:30:01,2020-09-05 11:05:10,1.3232489,1120.04,60.269997
1974,1137152,2021-10-07 2:52:02,2021-10-06 4:34:04,1.2996141,1477.86,77.489975
1897,1088312,2020-10-12 18:30:02,2020-10-12 18:30:02,1.3166345,1432.91,64.479996
6000,3506263,2021-08-01 17:58:36,2021-08-01 1:33:27,1.2804627,4489.64,233.06999
1329,779968,2020-11-10 17:55:07,2020-11-10 2:04:49,1.2754753,994.83,45.07
1149,691130,2021-05-06 18:30:01,2021-05-06 18:30:01,1.2435848,859.48,42.649998
2536,1491986,2021-06-17 18:02:09,2021-06-17 1:23:18,1.26904,1893.39,96.689964
3542,2032441,2020-10-05 17:17:08,2020-10-04 19:16:45,1.31562,2673.92,113.23999
7337,4083706,2021-09-21 4:00:01,2021-09-21 4:00:01,1.3604797,5555.8,289.49997
1840,1069853,2020-12-29 18:30:01,2020-12-29 18:30:01,1.3193395,1411.5,65.94999
4310,2491403,2020-10-17 17:03:59,2020-10-16 18:38:20,1.3065006,3255.02,146.87999
3264,1947687,2020-11-15 18:30:01,2020-11-15 18:30:01,1.2469404,2428.6501,111.39998
3092,1601835,2021-03-10 19:12:41,2021-03-10 19:12:41,1.4907963,2388.0098,101.14998
7446,4501602,2021-08-12 4:00:01,2021-08-12 4:00:01,1.2231333,5506.06,295.6
3714,2180215,2020-12-15 17:48:34,2020-12-15 2:13:23,1.2667234,2761.73,127.67
4232,2324844,2021-07-16 18:30:01,2021-07-16 18:30:01,1.3882817,3227.5398,166.54997
1786,1035294,2021-02-09 16:59:03,2021-02-09 3:26:02,1.2964135,1342.1699,60.6
503,303410,2020-12-18 18:30:03,2020-12-18 18:30:03,1.2343324,374.50998,17.359999
4484,2440054,2021-07-09 18:30:02,2021-07-09 18:30:02,1.4026121,3422.45,175.99997
20960,11272087,2021-08-06 3:28:30,2021-08-05 17:21:01,1.414259,15941.648,835.64984
3174,1827490,2021-04-30 18:19:38,2021-04-29 18:50:59,1.3042477,2383.5,121.799995
936,536308,2021-05-03 16:10:34,2021-05-03 0:40:14,1.3150445,705.27,33.199997
10069,5563439,2021-08-19 3:44:55,2021-08-18 12:00:25,1.3868921,7715.89,404.73996
1539,857995,2021-02-10 17:18:30,2021-02-10 3:09:14,1.3923622,1194.64,54.399998
1057,649733,2020-12-20 18:28:41,2020-12-19 20:56:00,1.2092813,785.70996,36.839996
3273,1805480,2021-01-03 18:30:01,2021-01-03 18:30:01,1.3885663,2507.03,109.299995
